iter	Passed	Remaining
0	2	208
1	3	174
2	4	159
3	6	146
4	7	142
5	8	139
6	10	137
7	11	135
8	13	133
9	14	131
10	16	129
11	17	127
12	18	125
13	20	124
14	21	122
15	23	121
16	24	119
17	25	117
18	27	116
19	29	118
20	31	117
21	32	115
22	33	113
23	35	111
24	36	109
25	38	108
26	39	106
27	40	105
28	42	104
29	44	102
30	45	101
31	46	99
32	48	97
33	51	99
34	52	98
35	55	98
36	59	101
37	61	100
38	63	100
39	65	98
40	69	99
41	70	97
42	72	96
43	74	95
44	76	93
45	78	92
46	80	91
47	82	89
48	85	89
49	87	87
50	89	85
51	91	84
52	93	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	71
59	104	69
60	106	68
61	108	66
62	109	64
63	110	62
64	112	60
65	114	58
66	115	56
67	117	55
68	118	53
69	120	51
70	121	49
71	122	47
72	124	45
73	125	44
74	128	42
75	130	41
76	133	39
77	134	38
78	136	36
79	137	34
80	139	32
81	140	30
82	142	29
83	143	27
84	144	25
85	146	23
86	147	22
87	149	20
88	150	18
89	151	16
90	153	15
91	154	13
92	156	11
93	158	10
94	159	8
95	160	6
96	162	5
97	163	3
98	166	1
99	167	0
