iter	Passed	Remaining
0	159	159774
1	162	81296
2	168	55996
3	175	43579
4	178	35453
5	182	30232
6	184	26111
7	188	23376
8	190	20931
9	192	19085
10	194	17490
11	195	16135
12	197	14990
13	201	14211
14	204	13401
15	205	12656
16	207	11980
17	208	11375
18	209	10834
19	211	10348
20	212	9924
21	215	9592
22	218	9262
23	220	8982
24	222	8674
25	223	8383
26	225	8116
27	227	7886
28	228	7654
29	231	7477
30	233	7285
31	234	7094
32	236	6939
33	238	6787
34	240	6629
35	241	6474
36	246	6402
37	247	6270
38	249	6141
39	251	6043
40	253	5933
41	255	5821
42	258	5748
43	260	5670
44	262	5569
45	264	5485
46	266	5396
47	267	5314
48	269	5235
49	274	5207
50	278	5180
51	280	5105
52	282	5052
53	284	4986
54	290	4998
55	292	4928
56	293	4858
57	295	4803
58	297	4747
59	299	4688
60	305	4699
61	307	4649
62	329	4893
63	330	4834
64	334	4818
65	337	4773
66	338	4719
67	340	4673
68	342	4625
69	344	4572
70	345	4520
71	349	4509
72	351	4464
73	353	4429
74	355	4383
75	357	4341
76	358	4297
77	360	4263
78	364	4244
79	366	4210
80	367	4174
81	369	4139
82	370	4093
83	372	4058
84	373	4024
85	378	4017
86	380	3989
87	382	3959
88	383	3925
89	384	3891
90	386	3861
91	388	3830
92	392	3823
93	394	3806
94	396	3777
95	398	3751
96	400	3726
97	402	3700
98	404	3681
99	408	3680
100	411	3663
101	414	3648
102	417	3632
103	422	3644
104	424	3619
105	426	3595
106	428	3574
107	430	3552
108	431	3529
109	436	3527
110	437	3507
111	439	3483
112	441	3465
113	443	3444
114	445	3426
115	449	3427
116	451	3405
117	453	3386
118	455	3373
119	457	3354
120	458	3333
121	460	3313
122	463	3302
123	465	3291
124	467	3272
125	469	3258
126	470	3237
127	472	3218
128	474	3202
129	476	3187
130	478	3173
131	480	3161
132	483	3153
133	485	3136
134	486	3117
135	488	3100
136	491	3094
137	493	3082
138	497	3080
139	499	3065
140	501	3052
141	502	3034
142	504	3022
143	505	3006
144	508	2998
145	510	2988
146	513	2977
147	514	2964
148	517	2954
149	519	2941
150	520	2928
151	524	2923
152	526	2913
153	527	2899
154	529	2888
155	543	2939
156	548	2945
157	550	2931
158	551	2917
159	553	2903
160	554	2887
161	555	2872
162	556	2859
163	558	2845
164	559	2831
165	561	2820
166	563	2810
167	565	2798
168	566	2786
169	568	2774
170	569	2761
171	571	2752
172	573	2741
173	578	2746
174	579	2734
175	581	2721
